filerange 65330 65345
rangestart 65330 65345

// Subtitles
// 65330	100 years ago, a satellite detected an object under the sands of the Great Desert.
65330	百年前、人工衛星が広大な砂漠の砂の下に物体を発見した。
// 65331	An expedition was sent.
65331	遠征隊が送り出された。
// 65332	An ancient starship, buried in the sand.
65332	砂に埋もれていた古代の宇宙船。
// 65333	Deep inside the ruin was a single stone that would change the course of our history forever.
65333	その残骸の奥深くには、我々の歴史を永遠に変えてしまうであろうひとつの石があった。
// 65334	On the stone was etched a galactic map ...
65334	石の表面には銀河系の地図と……
// 65335	and a single word more ancient than the clans themselves ...
65335	氏族の歴史よりも古代の言葉が刻まれていた……
// 65336	Hiigara.
65336	ヒガーラ(Hiigara)。
// 65337	Our home.
65337	我々の故郷。
// 65338	The clans were united, and a massive colony ship was designed.
65338	氏族は団結し、そして大規模な移民船が設計された。
// 65339	Construction would take 60 years.
65339	建造には60年を要するだろう。
// 65340	It would demand new technologies, new industries and new sacrifices.
65340	それは新たな技術、新たな産業、新たな犠牲を必要とするだろう。
// 65341	The greatest of these was made by the scientist Karan S'jet, who had herself permanently integrated into the colony ship as its living core.
65341	これらの最も重要な部分は、科学者のKaran S'jet(カラン・スジェット)が移民船の生きる中枢として永遠に融合することによって成し遂げられた。
// 65342	She is now Fleet Command.
65342	彼女は現在、艦隊司令官である。
// 65343	The promise of the Guidestone united the entire population.
65343	ガイドストーンが生み出す約束が全ての人々を一体とした。
// 65344	Every mind became focused on the true origin of our people...
65344	全ての知性が、我々人類の本当の起源に集中するようになった……
// 65345	... every effort on the construction of the ship that would seek it out among the stars.
65345	……あらゆる取り組みが、星々の間にそれ(ヒガーラ)を探し求めるための船の建造に当てられた。

rangeend
