filerange 65395 65400
rangestart 65395 65400

// Subtitles
// 65395	All Hyperspace systems operating at full power.
65395	全てのハイパースペースシステムは最大出力で稼働しています。
// 65396	If the Hyperspace targeting system is accurate, we will emerge in close proximity to the support vessel Khar-Selim.
65396	ハイパースペース位置決定システムが正確であるならば、我々は支援船カー・セリム(Khar-Selim)の近くまで接近して出るでしょう。
// 65397	This ship has spent the past 10 years travelling on conventional drives to reach the outer Kharak system.
65397	この船は、カァラーク星系の外縁部に到達するために、従来の駆動装置で航行し過去10年を費やしてきました。
// 65398	The Khar-Selim will monitor the quantum waveform as we return to normal space, and assist in tuning our drive control systems.
65398	カー・セリム(Khar-Selim)は我々が通常空間に戻った時の量子波形を監視し、我々の駆動制御システムを調整するための支援をしてくれるでしょう。
// 65399	If the Hyperspace module malfunctions, the Khar-Selim will provide assistance and re-supply.
65399	もしハイパースペースモジュールが誤作動を起こしたなら、カー・セリム(Khar-Selim)は援助と再補給を提供するでしょう。
// 65400	Mission objectives will be to dock with the support vessel in order to complete adjustments to the Mothership and her drives.
65400	ミッションの目的は、マザーシップとその駆動装置の調整を完了するために支援船とドッキングすることになります。

rangeend
