filerange 65471 65477
rangestart 65471 65477

// Subtitles
// 65471	Cryogenic trays have been processed and our colonists are safe for now.
65471	クライオジェニックトレイは処理され、今のところ入植者達は安全です。
// 65472	We are all that's left of our world, our culture, our people.
65472	私達が、私達の世界、文化、人間の残された全てとなりました。
// 65474	From the interrogation, we learned that a frontier fleet patrolling the borders of a vast interstellar empire was dispatched to destroy our planet.
65474	尋問により、広大な星間帝国の境界をパトロールしている辺境艦隊が、我々の惑星を破壊するために派遣されたのだと知りました。
// 65475	The captain claimed our people violated a 4000-year-old treaty forbidding us to develop hyperspace technology.
65475	艦長は、我々がハイパースペース技術を開発することを禁止した4,000年前の条約に違反したのだと主張しました。
// 65476	Extermination of our planet was the consequence.
65476	我々の惑星の根絶はその結果だったのだと。
// 65477	The subject did not survive interrogation.
65477	尋問を受けた者は生き残りませんでした。

rangeend
