filerange 65664 65672
rangestart 65664 65672

// Subtitles
// 65664	I am Group Captain Elson of the Destroyer Kapella.
65664	私は駆逐艦カペラのエリソン大佐だ。
// 65665	The Taiidan Empire has become decadent and corrupt over the centuries.
65665	タイダーン帝国は数世紀に渡る退廃により腐敗してしまった。
// 65666	The Kushan empire has become decadent and corrupt over the centuries.
65666	The Kushan empire has become decadent and corrupt over the centuries.
// 65667	The use of the forbidden atmosphere-deprivation device on your planet finally triggered the Rebellion.
65667	あなた達の惑星に、禁じられていた大気遮断装置を使用したことが、反乱の最終的な引き金となった。
// 65668	Help me get access to the Rebellion's communication network.
65668	反乱者達の通信ネットワークにアクセスするのを手伝って貰いたい。
// 65669	I will show you a way through the defenses surrounding your Homeworld.
65669	あなた達の故郷(Homeworld)を取り巻く防衛網を通り抜ける進路を案内できるだろう。
// 65670	Take me to the ship graveyard at Karos.
65670	カロス(Karos)にある船の墓場へと私を連れて行って貰いたい。
// 65671	Hidden in a derelict there is a relay I can use with your help.
65671	あなた達の手助けをするために使える中継器が遺棄船の中に隠されている。
// 65672	The Rebellion waits for my sign to move into its next phase.
65672	次の段階に移るための合図を反乱者達は待っている。

rangeend
