filerange 60700 60843
rangestart 60700 60843

// Subtitles
// 60701	Hyperspace interrupted.
60701	ハイパースペースが妨害されました。
// 60702	Shutting down the inhibitor field has alerted the Taiidan to our presence.
60702	妨害フィールドを停止させたことにより、我々の存在をタイダーンに警告してしまいました。
// 60703	Shutting down the inhibitor field has alerted the Kushan to our presence.
60703	Shutting down the inhibitor field has alerted the Kushan to our presence.
// 60704	We are on a collision course with a very large object.  It appears to have escorts.  It must be destroyed before it impacts the Mothership.
60704	我々は非常に大きな物体の衝突進路上にいます。 それは護衛を伴っているようです。 マザーシップに衝突する前にそれを破壊しなければなりません。
// 60705	Impact in twenty minutes.
60705	衝突まで20分。
// 60706	Impact in fifteen minutes.
60706	衝突まで15分。
// 60707	Impact in ten minutes.
60707	衝突まで10分。
// 60708	Impact in five minutes.
60708	衝突まで5分。
// 60709	Impact in four minutes.
60709	衝突まで4分。
// 60710	Impact in three minutes.
60710	衝突まで3分。
// 60711	Impact in two minutes.
60711	衝突まで2分。
// 60712	Impact in one minute.
60712	衝突まで1分。
// 60713	Standby for impact.
60713	衝突に備えてください。
// 60714	Hyperspace module charged and ready.
60714	ハイパースペースモジュールはチャージされ、準備ができています。
// 60715	Taiidan Empire
60715	タイダーン帝国
// 60735	Impact in thirty seconds.
60735	衝突まで30秒。
// 60736	Impact in ten seconds.
60736	衝突まで10秒。
// 60843	A very large object is on a collision course with the Mothership and closing quickly.  Destroy the object before it is able to impact the Mothership.
60843	非常に大きな物体がマザーシップへの衝突コースにあり、速い速度で近づいてきます。 マザーシップに衝突してしまう前に物体を破壊してください。
// 60700	Massive Asteroid
60700	巨大な小惑星

rangeend
