filerange 66482 66491
rangestart 66482 66491

// Subtitles
// 66482	Prepare the ambassador.
66482	使節を準備します。
// 66483	Ambassador away.
66483	使節が離れていきます。
// 66484	Trajectory locked in, hailing signal open on all channels.
66484	軌道を固定、呼びかけの信号を、開いている全てのチャンネルに。
// 66485	Entering magnetic field now... 
66485	今、磁界へと入ります……。
// 66486	Almost there.  Fleet, we've lost guidance and are being drawn in... 
66486	もうすぐそこに……。 艦隊へ、私達は誘導を失い、引き込まれています……。
// 66487	There's a lot of lights.  uh... there seems to be... some kind of activity inside, I can see...
66487	そこには多数の光源があります。 あー……その中には何らかの種類の活動が……あるように思われます、見ることができます……。
// 66488	We are the Bentusi, and welcome you among space-faring cultures: The Unbound.  The Outer Limb Trade Routes were established in the First Time by our ancestors.  The resources you collect are of value to the Bentusi Exchange.  They will serve as an acceptable medium for trade.  It has been our custom to equip trading partners with an exchange unit.  It has therefore been provided to your ambassador as a gesture of good will.
66488	我々はベントゥージ(Bentusi)、宇宙を旅する文化「解き放たれし者(TheUnbound)」の中にいるあなた方を歓迎する。 外縁交易ルートは、我々の祖先達によって「始まりの時代(TheFirstTime)」に確立された。 あなた方が集める資源はベントゥージの交易に対する価値がある。 それらは交易のために認められたものとして機能する。 それが取引相手に交換ユニットを授けるための我々の習慣となっている。 したがってそれを親善の証としてあなた方の使節に提供する。
// 66489	Fleet, this is ambassador.  We are clear of the Bentusi vessel, all systems green.  Harbor control has released Guidance and the exchange unit is secure.  Receiving crews, prep the quarantine chamber.
66489	艦隊へ、こちらは使節です。 私達はベントゥージ船から離れています。全システム問題なし。 停泊制御は誘導から解放され、交換ユニットは確かなものです。 乗員を受け入れて、検疫室を準備してください。
// 66490	Roger that.  Quarantine standing by.
66490	了解。 検疫に備えます。
// 66491	Bentusi Trading link established.
66491	ベントゥージの交易リンクが確立されました。

rangeend
