filerange 66543 66549
rangestart 66543 66549

// Subtitles
// 66543	Ambassador away.
66543	使節が離れていきます。
// 66544	This is the Garden of Kadesh.  For thirteen generations, we have protected it from the unclean.
66544	ここはカデッシュの庭である。 十三世代に渡り、我々はここを不浄な者達から守ってきた。
// 66545	The Turanic Raiders who came before you refused to join and were punished for this trespass. Like theirs, your ship has already defiled this holy place.
66545	お前達が来る前に来たトゥラニックレイダースは加わることを拒否し、侵入の罪を罰せられた。彼らのように、すでにお前達の船はこの神聖なる場所を穢している。
// 66546	If you have come to join, we welcome you, and will spare you your ship until all have disembarked.  If you have come to consume the garden, you will be removed at once.
66546	もしもお前達が加わるのであれば我々は歓迎し、お前達すべてが下船した後に侵入したことを許そう。 だが、もしもお前達がこの庭を焼き尽くすために来たのであれば直ちに排除されるであろう。
// 66547	What are your intentions?
66547	お前達の目的は何か?
// 66548	We were unaware of the significance of this location.  We mean you no conflict.  Please allow us time to prepare our engines so that we may withdraw as requested.
66548	私達はこの場所の重要性に気が付きませんでした。 私達はあなた達との衝突を意図していません。 どうか私達が要求に応じて撤退することができるよう、出航の準備をする時間を許してください。
// 66549	If you will not join, then die.  There is no withdrawal from the Garden.
66549	お前達が加わらないと言うのであれば、死ぬが良い。 この庭からは出さぬ。

rangeend
