filerange 50000 50441
rangestart 50000 50441

// Subtitles
// 50000	Learn how to play Homeworld
50000	Homeworldをプレイする方法を学ぶ
// 50001	Rotate the camera
50001	カメラを回転する
// 50002	Pan away from ships
50002	船からパン(視点移動)する
// 50003	Restore focus on scouts
50003	スカウト(Scout)隊にフォーカスを戻す
// 50004	Select and focus on 2nd scout group
50004	Select and focus on 2nd scout group
// 50005	Select both groups of scouts
50005	二つのスカウト(Scout)隊を選択する
// 50006	Activate the sensors manager
50006	センサーマネージャーを表示する
// 50007	Move ships to asteroid field
50007	アステロイド帯に船を移動する
// 50008	Activate the movement disc
50008	Activate the movement disc
// 50011	Access the OBJECTIVES SCREEN
50011	目的(OBJECTIVES)画面を表示する
// 50012	Select a squad squadron
50012	艦隊を選択する
// 50013	Zoom the Camera
50013	カメラをズーム(拡大・縮小)する
// 50014	Exit the Sensors Manager
50014	センサーマネージャーから戻る
// 50440	Move ships to this location
50440	この場所に船を移動する
// 50300	Attain a basic familiarity with camera control, unit selection, and movement.
50300	カメラ操作、ユニットの選択と移動について基本的な知識を得ます。
// 50301	Rotate the camera around the currently selected ship by holding down the right mouse button and moving the mouse in any direction.
50301	マウスの右ボタンを押しながら任意の方向にマウスを動かすことで、現在選択されている船の周りにカメラを回転させます。
// 50302	Move the camera away from your scouts by pushing your mouse cursor to the edge of the screen in the direction you wish to pan. Keep panning until no ships are in view.
50302	マウスカーソルを、パン(視点移動)したい方向の画面の端に動かすことで、スカウト(Scout)隊からカメラを移動してください。船が表示されなくなるまでパンしてください。
// 50303	Bring the scouts back into view by focusing on them. The default focus shortcut key is F.
50303	再びスカウト(Scout)隊が表示されるようフォーカスを戻してください。標準のフォーカス用ショートカットキーは[F]です。
// 50305	Select both groups of scouts by clicking on an empty area of the screen and then dragging a bandbox around the scouts. You can also do this by selecting the scouts independently, while pressing the SHIFT key to add to your selection.
50305	画面の何も無い領域をクリックしたままスカウト(Scout)隊が収まるように周りをドラッグすることで両方の部隊を選択してください。1部隊だけ選択した場合は[SHIFT]キーを押しながら追加選択することができます。
// 50306	The sensors manager can be activated by pressing SPACE or by clicking on the Sensors button in the middle of the taskbar.
50306	センサーマネージャー(SensorsManager)は、スペースキーを押すか、タスクバー中央のセンサーアイコンをクリックして表示することができます。
// 50307	Issue a relative move command by selecting your scouts and right-clicking on one of the asteroids.
50307	スカウト(Scout)隊を選択し、アステロイド帯のうちの一つを右クリックすることで、相対的な移動命令を出してください。
// 50308	Activate the movement disc by selecting a ship and right-clicking on an empty area of the screen. You may also activate the movement disc by pressing the default movement key, M.
50308	Activate the movement disc by selecting a ship and right-clicking on an empty area of the screen. You may also activate the movement disc by pressing the default movement key, M.
// 50309	The OBJECTIVES window can be accessed by clicking on the objectives button on the taskbar.
50309	目的(OBJECTIVES)ウィンドウは、タスクバー上の[OBJECTIVES]アイコンをクリックして開くことができます。
// 50310	The camera can be zoomed by scrolling the MOUSE WHEEL or by holding down both mouse buttons while moving the mouse forwards and backwards.
50310	カメラは、マウスホイールを回転させるか、両方のマウスボタンを押したまま前後にマウスを動かすことで、ズーム(拡大・縮小)することができます。
// 50441	Hold down the LEFT MOUSE BUTTON or SHIFT while moving the mouse to change the vertical height of a move order.
50441	移動命令の垂直方向の高さを変更するには、マウスの左ボタンまたは[SHIFT]キーを押したままマウスを動かします。
// 50009	Move to the asteroid field
50009	Move to the asteroid field
// 50010	Right-click on any of these asteroids to move here
50010	Right-click on any of these asteroids to move here
// 50015	This is an Objective Ping
50015	This is an Objective Ping
// 50016	Bring a ship here
50016	Bring a ship here
// 50020	GAMEPLAY BASICS
50020	＜ゲームプレイの基本事項＞
// 50030	Welcome to the Homeworld training mission.
50030	Homeworldのトレーニングミッションにようこそ。
// 50350	This Tutorial will cover the User Interface, Camera control, Unit Selection and Movement.
50350	このチュートリアルでは、ユーザーインターフェイス、カメラ操作、ユニットの選択と移動について学びます。
// 50351	Our first priority is the Taskbar.
50351	まずはタスクバーからです。
