filerange 51000 52071
rangestart 51000 52071

// Subtitles
// 51000	Select the Fighters
51000	ファイターを選択する
// 51001	Assign Interceptors to group 1
51001	グループ1にインターセプター隊を割り当てる
// 51002	Assign Bombers to group 2
51002	グループ2にボマー隊を割り当てる
// 51003	Destroy Vaygr Frigate
51003	ヴェイガー(Vaygr)のフリゲート艦を破壊
// 51004	Move to Ping
51004	Move to Ping
// 51007	Bring up the Sensors Manager
51007	Bring up the Sensors Manager
// 51008	Select the Carrier
51008	キャリアー(Carrier)を選択する
// 51009	Click the flashing SPECIAL ACTIONS icon in the taskbar
51009	SPアクションアイコンをクリックする
// 51017	De-Cloak the Carrier
51017	キャリアーを隠蔽解除する
// 51018	Capture the Enemy Frigate
51018	敵のフリゲート艦を捕獲(Capture)する
// 51023	Select the indicated ships
51023	指定された船を選択する
// 51024	Assign the ships to a strikegroup
51024	ストライクグループに船を割り当てる
// 51021	Exit the tutorial
51021	チュートリアルを終了する
// 51010	Select the three squadrons of Interceptors by dragging a bandbox around them.
51010	三つのインターセプター(Interceptor)隊の周りをドラッグして範囲選択します。
// 51011	Assign the Interceptors to Control Group 1 by selecting the ships and pressing CTRL+1.
51011	船を選択してから[CTRL]+[1]を押して、グループ1にインターセプター(Interceptor)隊を割り当ててください。
// 51012	Assign the Bombers to Control Group 2 by selecting the ships and pressing CTRL+2.
51012	船を選択してから[CTRL]+[2]を押して、グループ2にボマー(Bomber)隊を割り当ててください。
// 51013	Select available Fighters and issue an attack order on the unarmed  Vaygr Frigate.
51013	利用可能な戦闘機を選択し、武装解除したヴェイガー(Vaygr)のフリゲート艦に攻撃命令を出してください。
// 51014	From within the Sensors Manager, select one of your ships and issue a move command by activating the movement disc. To adjust the height of the destination point, you can press and hold SHIFT while moving the mouse.
51014	From within the Sensors Manager, select one of your ships and issue a move command by activating the movement disc. To adjust the height of the destination point, you can press and hold SHIFT while moving the mouse.
// 51015	Cloak the Carrier by clicking on the flashing Cloak button on the Taskbar, or by SHIFT-RIGHT-CLICKING on the Carrier and choosing the Cloak special ability.
51015	タスクバーの点滅する隠蔽(CLOAK)ボタンをクリックするか、キャリアー(Carrier)上で[SHIFT]+右クリックして「隠蔽(Cloak)」スペシャルアビリティを選択し、キャリアー(Carrier)を隠蔽(Cloak)してください。
// 51019	Select the Marine frigate provided, and CAPTURE the enemy frigate by RIGHT-CLICKING on it
51019	用意されたマリンフリゲート(MarineFrigate)を選択し、敵のフリゲート艦を右クリックして捕獲(Capture)してください。
// 51022	If you wish to exit the tutorial, press F10 to bring up the in-game menu.
51022	チュートリアルを終了したい場合は、[F10]キーを押してゲーム内のメニューを表示します。　　
// 51025	Using drag-selecting or the SHIFT key, select all the indicated ships.
51025	ドラッグ選択、または[SHIFT]キーを使用して、指定された全ての船を選択してください。
// 51026	Assign the ships you have selected in the previous step to a strikegroup. Strikegroup formation hotkeys are by default F5-F7. You may also use the strikegroup rollout located on the taskbar.
